host_time_s,front_ps_data,rear_ps_data
6.835982300000069,46.0,45.0
6.838969600000382,46.0,45.0
6.842765899999904,45.0,45.0
6.845971200000349,46.0,45.0
6.848920500000531,46.0,45.0
6.8520309000005,46.0,45.0
6.854920200000379,46.0,45.0
6.857911699999931,46.0,45.0
6.86094840000078,44.0,45.0
6.864656400000058,45.0,45.0
6.867897699999958,45.0,45.0
6.870901199999935,46.0,45.0
6.8738913000006505,46.0,44.0
6.876949200000126,46.0,44.0
6.879872500000602,46.0,44.0
6.882979100000739,47.0,44.0
6.887522500000159,45.0,45.0
6.891944500000136,45.0,45.0
6.89498679999997,44.0,45.0
6.89791570000034,44.0,46.0
6.90090760000021,44.0,46.0
6.903913099999954,44.0,46.0
6.908473800000138,45.0,45.0
6.910931899999923,45.0,45.0
6.913930800000344,45.0,45.0
6.91696520000005,45.0,45.0
6.919853899999907,46.0,45.0
6.922856500000307,46.0,45.0
6.925958400000127,46.0,45.0
6.929723600000216,45.0,45.0
6.932882000000063,44.0,45.0
6.93597310000041,44.0,45.0
6.938939399999981,44.0,45.0
6.94189439999991,44.0,45.0
6.945015199999943,45.0,45.0
6.947887700000138,45.0,45.0
6.950990199999978,45.0,45.0
6.9539502000006905,45.0,45.0
6.956870900000467,43.0,43.0
6.960011200000736,43.0,43.0
6.962964400000601,43.0,43.0
6.965878900000462,43.0,43.0
6.968975499999942,45.0,40.0
6.9726620999999795,45.0,44.0
6.975934600000073,45.0,44.0
6.978979900000013,45.0,44.0
6.981878900000083,45.0,35.0
6.985023600000204,45.0,35.0
6.98890400000073,45.0,35.0
6.992829600000732,45.0,22.0
6.9959288000000015,28.0,22.0
6.998912200000632,28.0,22.0
7.0020000000004075,28.0,22.0
7.004893000000266,9.0,23.0
7.00793430000067,9.0,23.0
7.010919900000772,9.0,23.0
7.015419000000293,17.0,30.0
7.01798670000062,27.0,50.0
7.020901900000354,27.0,50.0
7.023943600000166,27.0,50.0
7.026994200000445,27.0,50.0
7.029934500000309,43.0,61.0
7.0329209999999875,43.0,61.0
7.037493600000744,45.0,54.0
7.039895500000057,45.0,54.0
7.042903100000331,50.0,53.0
7.045973199999935,50.0,53.0
7.048847800000658,50.0,53.0
7.0520219,50.0,53.0
7.054914100000133,54.0,53.0
7.059476400000676,48.0,46.0
7.061935900000208,48.0,46.0
7.064836400000786,48.0,47.0
7.067987400000675,48.0,47.0
7.070890700000746,48.0,47.0
7.073894600000131,48.0,47.0
7.076959600000009,48.0,47.0
7.081432700000732,45.0,45.0
7.084035600000789,45.0,45.0
7.086885900000198,45.0,45.0
7.090893000000506,45.0,44.0
7.094046600000183,45.0,44.0
7.097071000000142,45.0,44.0
7.100699900000109,45.0,45.0
7.103929800000515,44.0,46.0
7.10686750000059,44.0,46.0
7.1100532000000385,44.0,46.0
7.112930700000106,44.0,46.0
7.115891500000544,44.0,46.0
7.118933499999912,44.0,46.0
7.123434000000088,45.0,45.0
7.12594320000062,45.0,44.0
7.129037800000333,46.0,44.0
7.131915200000549,46.0,44.0
7.134949100000085,46.0,44.0
7.137877300000582,46.0,44.0
7.1408727000007275,45.0,44.0
7.144793700000264,45.0,45.0
7.147926800000278,45.0,45.0
7.150962700000491,45.0,46.0
7.15391980000004,45.0,46.0
7.156843100000515,45.0,46.0
7.160203600000386,45.0,46.0
7.162940900000649,45.0,46.0
7.167448200000763,45.0,45.0
7.169857599999887,45.0,45.0
7.172867700000097,45.0,45.0
7.176003700000365,45.0,45.0
7.178921600000649,45.0,45.0
7.1818302000001495,45.0,45.0
7.184999099999914,45.0,44.0
7.189672299999984,45.0,45.0
7.192963299999974,45.0,45.0
7.195953200000076,45.0,45.0
7.198878200000763,45.0,46.0
7.2019569000003685,46.0,46.0
7.204962400000113,46.0,46.0
7.2078604000007545,46.0,46.0
7.212479499999972,45.0,45.0
7.214860200000658,44.0,45.0
7.2179681000006894,44.0,45.0
7.220895000000382,44.0,45.0
7.223864300000059,44.0,43.0
7.226926400000593,43.0,43.0
7.229935300000761,43.0,43.0
7.234515900000588,45.0,45.0
7.237020100000336,46.0,46.0
7.239931200000683,46.0,46.0
7.243050400000357,46.0,46.0
7.246000200000708,46.0,47.0
7.248851800000011,45.0,47.0
7.251992700000301,45.0,47.0
7.255704600000172,45.0,45.0
7.258900000000722,45.0,44.0
7.261950099999922,45.0,44.0
7.264910900000359,45.0,44.0
7.267959800000426,45.0,44.0
7.270962999999938,45.0,45.0
7.273937500000102,47.0,45.0
7.277743000000555,45.0,45.0
7.280922700000701,45.0,45.0
7.283943700000236,45.0,44.0
7.2869924000005994,44.0,44.0
7.290890900000704,44.0,44.0
7.293925599999966,44.0,44.0
7.298459800000273,45.0,45.0
7.300939499999913,43.0,45.0
7.303945300000123,43.0,45.0
7.306852300000173,43.0,46.0
7.309911700000157,45.0,46.0
7.3128569000000425,45.0,46.0
7.315876200000275,45.0,46.0
7.319768600000316,45.0,45.0
7.322860500000388,46.0,45.0
7.325964200000271,46.0,45.0
7.328911500000686,46.0,45.0
7.331862100000762,46.0,44.0
7.334944200000791,46.0,44.0
7.337881400000697,46.0,44.0
7.342530100000658,45.0,45.0
7.344847700000173,45.0,45.0
7.3478861000003235,45.0,45.0
7.350967100000162,45.0,45.0
7.353877700000339,45.0,46.0
7.356842099999994,45.0,46.0
7.359928900000341,44.0,46.0
7.3644240000003265,45.0,45.0
7.3669927000000826,45.0,45.0
7.369922700000643,45.0,45.0
7.372838500000398,44.0,45.0
7.3759626000000935,44.0,45.0
7.3788776000001235,44.0,45.0
7.381867400000374,44.0,45.0
7.3848956000001635,45.0,45.0
7.388877400000638,45.0,45.0
7.3920052000003125,45.0,45.0
7.394952500000727,45.0,45.0
7.397853299999952,44.0,45.0
7.4008894000007786,44.0,45.0
7.4039127000005465,44.0,45.0
7.407632800000101,45.0,45.0
7.410977999999886,45.0,45.0
7.413925100000597,45.0,45.0
7.416943100000026,45.0,45.0
7.420038199999908,46.0,45.0
